Codigo_Producto_SKU,Nombre,Descripcion_Producto,Stock,Categoria,Imagen(url del servidor)
"1039,Lijadora de Banda 3x21"",Herramienta eléctrica de alta potencia.,15,HERRAMIENTAS,https://server.com/img/lijadora_banda.jpg"
INV-2040,Soldadora Inverter 130 Amps,Equipo compacto para soldadura ARC.,7,SOLDADURA,https://server.com/img/soldadora.jpg
1041,Gafas de Seguridad Transparentes,Protección ocular contra impactos y polvo.,250,SEGURIDAD,https://server.com/img/gafas_seg.jpg
SKU-1042,Linterna Frontal LED Recargable,Linterna para casco con múltiples modos de luz.,-1,iluminación,https://server.com/img/linterna_front.jpg
1043,Kit de Fijación para Drywall,Tornillos y anclajes para placas de yeso.,130,FIJACIONES,https://server.com/img/kit_drywall.jpg
4532F,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores, acabado mate.,NULL,Pinturas,https://server.com/img/pintura_mate_v3.jpg
1045,Adhesivo Epóxico Bicomponente,Pegamento extra fuerte de dos partes.,160,QUIMICOS,https://server.com/img/epoxico.jpg
1046,Tijeras de Podar Bypass,Tijeras para jardinería, hoja de acero inoxidable.,60,JARDIN,https://server.com/img/tijeras_podar.jpg
1047,Nivel de Burbuja 60cm,Herramienta de medición con tres burbujas.,85,HERRAMIENTAS,https://server.com/img/nivel_burbuja.jpg
1048,Masilla Plástica para Carrocería,Masilla de poliéster para reparación de vehículos.,25,Quimicos,https://server.com/img/masilla_plast.jpg
1049,Kit de Destornilladores Precisión,Set de 32 puntas intercambiables para electrónica.,115,manuales,https://server.com/img/kit_destorn.jpg
1050,Termofusora para PPR,Máquina para soldadura de tuberías plásticas.,5,Fontaneria,https://server.com/img/termofusora.jpg
INV-2051,Cables para Soldadora 2 Metros,Cables de cobre para máquina de soldar.,35,SOLDADURA,https://server.com/img/cables_sold.jpg
SKU-1052,Set de Llaves Allen Milimétricas,Juego de llaves hexagonales en estuche plástico.,105,HERRAMIENTAS MANUALES,https://server.com/img/allen_metric.jpg
1053,Cerradura de Sobreponer,Cerradura para puerta de metal, incluye 3 llaves.,65,Herrajes,https://server.com/img/cerradura_sob.jpg
4532G,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores.,14,PINTURA,https://server.com/img/pintura_v4.jpg
1055,Motosierra a Gasolina 52cc,Potente motosierra para corte de leña.,3,JARDINERIA,https://server.com/img/motosierra.jpg
1056,Cinta Aislante Eléctrica Negra,Cinta de PVC de alta resistencia a la abrasión.,500,electricidad,https://server.com/img/cinta_aisl.jpg
1057,Medidor Digital de Humedad,Higrómetro para madera y materiales de construcción.,20,HERRAMIENTAS,https://server.com/img/medidor_hum.jpg
1058,Remachadora Manual Profesional,Herramienta para colocar remaches de aluminio y acero.,60,manuales,https://server.com/img/remachadora.jpg
1059,Pegamento de Poliuretano Expansivo,Espuma aislante para rellenar huecos y fisuras.,100,QUIMICOS,https://server.com/img/poliuretano.jpg
SKU-1060,Disyuntor Térmico 20 Amps,Breaker de protección contra sobrecarga y cortocircuito.,80,ELECTRICIDAD,https://server.com/img/disyuntor.jpg
1061,Grifo para Lavaplatos Monomando,Grifo de cocina con caño giratorio.,28,Fontaneria,https://server.com/img/grifo_cocina.jpg
4532H,Pintura Acrílica Interior 1 Gl.,NULL,NULL,PINTURA,NULL
1063,Tornillos para Madera Cabeza Plana,Tornillos de latón para carpintería fina. Caja de 500 gramos.,150,Tornillos,https://server.com/img/tornillos_madera.jpg
1064,Carretilla de Obra 65L,Carretilla con rueda neumática para transporte de materiales.,10,SEGURIDAD,https://server.com/img/carretilla.jpg
1065,Aceite Lubricante Multiusos,Aceite penetrante y lubricante en spray. 400ml.,200,quimicos,https://server.com/img/aceite_lub.jpg
NULL,Motosierra Eléctrica,Motosierra con motor eléctrico de 2000W.,4,Jardinería,https://server.com/img/motosierra_el.jpg
1067,Multímetro Digital,Instrumento para medir voltaje, corriente y resistencia.,17,HERRAMIENTAS,https://server.com/img/multimetro.jpg
"1068,Esmeriladora Angular 4 1/2"",Máquina para pulir y cortar metal.,25,Herramientas,https://server.com/img/esmeriladora.jpg"
1069,Kit de Reparación de Neumáticos,Set para parchar llantas sin cámara.,90,manuales,https://server.com/img/kit_neum.jpg
INV-2070,Pinzas Porta Electrodo 300A,Pinzas de alta resistencia para soldadura.,40,SOLDADURA,https://server.com/img/pinzas_elec.jpg
1071,Boquilla de Riego Ajustable,Boquilla para manguera de jardín con varios patrones de riego.,110,JARDIN,https://server.com/img/boquilla_riego.jpg
SKU-1072,Regulador de Voltaje 1000W,Protector contra picos de tensión y fluctuaciones.,-3,ELECTRICIDAD,https://server.com/img/regulador_volt.jpg
1073,Bisagras de Piano 1.5m,Bisagra continua de acero. Se vende por metro.,75,Herrajes,https://server.com/img/bisagra_piano.jpg
4532I,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores, acabado mate. Últimas unidades.,16,PINTURAS,https://server.com/img/pintura_mate_v4.jpg
1075,Limas para Metal Set 5pcs,Set de limas planas, redondas y triangulares.,45,manuales,https://server.com/img/limas_metal.jpg
1076,Kit de Juntas y O-Rings,Surtido de sellos de goma para reparaciones de fontanería.,200,Fontanería,https://server.com/img/o_rings.jpg
1077,Cable Eléctrico THHN #12,Conductor de cobre para instalaciones residenciales.,NULL,ELECTRICIDAD,https://server.com/img/cable_thhn.jpg
1078,Pico de Loro para Jardinería,Pala pequeña y puntiaguda para trabajar la tierra.,60,jardinería,https://server.com/img/pico_loro.jpg
1079,Sierra de Calar 500W,Herramienta para cortes curvos y detallados en madera.,20,HERRAMIENTAS,NULL
1080,Removedor de Pintura Gel,Decapante químico en formato gel. 1 Litro.,55,quimicos,https://server.com/img/removedor_pint.jpg
1081,Tuercas Hexagonales Acero Inox,NULL,300,FIJACIONES,https://server.com/img/tuercas_inox.jpg
SKU-1082,Cincel SDS Plus,Cincel plano para rotomartillo.,70,HERRAMIENTAS MANUALES,https://server.com/img/cincel_sds.jpg
1083,Brocas Forstner Set 7pcs,Brocas para agujeros ciegos en madera.,35,BROCAS,https://server.com/img/brocas_forst.jpg
4532J,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores, acabado mate.,11,Pintura,https://server.com/img/pintura_mate_v5.jpg
1085,Manguera de Presión para Compresor,Manguera de 10 metros con acoples rápidos.,15,HERRAMIENTAS,https://server.com/img/manguera_comp.jpg
NULL,Válvula Esférica 1/2 pulgada,Válvula de corte rápido para agua.,180,fontaneria,https://server.com/img/valvula_esf.jpg
1087,Grapadora Manual para Tapicería,Grapadora de alto impacto para telas y maderas.,40,Manuales,https://server.com/img/grapadora.jpg
1088,Reflector LED de Emergencia,Reflector portátil con batería recargable.,25,ILUMINACION,https://server.com/img/reflector_led.jpg
1089,Cerradura Cilindro Europeo,Cilindro de alta seguridad para puertas.,80,HERRAJES,https://server.com/img/cilindro_eur.jpg
INV-2090,Máscara de Gas con Filtro,Mascarilla de protección respiratoria con doble filtro.,12,SEGURIDAD,https://server.com/img/mascara_gas.jpg
1091,Sika Impermeabilizante 4kg,Mortero impermeable para exteriores.,90,QUIMICOS,https://server.com/img/sika_imper.jpg
SKU-1092,Sierra de Mesa 10 pulgadas,Sierra estacionaria para carpintería pesada.,4,HERRAMIENTAS,https://server.com/img/sierra_mesa.jpg
1093,Tornillos Autoperforantes,Caja de 1000 unidades, cabeza hexagonal.,150,fijaciones,https://server.com/img/tornillos_aut.jpg
4532K,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores.,NULL,PINTURA,https://server.com/img/pintura_v5.jpg
1095,Kit de Accesorios para Dremel,Set de 100 piezas para herramientas rotativas.,60,CONSUMIBLES,https://server.com/img/kit_dremel.jpg
1096,Cepillo de Alambre Circular,Cepillo para pulir y remover óxido.,250,consumibles,https://server.com/img/cepillo_al.jpg
1097,Sierra Caladora de Banco,Sierra de precisión para cortes complejos.,3,HERRAMIENTAS,https://server.com/img/sierra_cal.jpg
1098,Destornillador Aislado VDE,Destornillador certificado para trabajos con electricidad.,85,ELECTRICIDAD,https://server.com/img/dest_vde.jpg
1099,Regadera de Plástico 5 Litros,Regadera para plantas de jardín, color verde.,100,JARDIN,https://server.com/img/regadera.jpg
1100-F,Medidor Láser de Distancia 50m,Telémetro láser con funciones de área y volumen.,-8,HERRAMIENTAS,https://server.com/img/medidor_laser.jpg
SKU-1001,Martillo de Uña Curva 20oz,Martillo profesional con cabeza forjada y mango de fibra de vidrio.,45,HERRAMIENTAS MANUALES,https://server.com/img/martillo_001.jpg
1002-A,Lijadora Orbital Bosch GEX 125-1,Lijadora excéntrica de 125 mm con velocidad ajustable.,-5,Herramientas,https://server.com/img/lijadora_002.jpg
NULL,Kit de Tornillos y Tacos,Surtido de tornillos autorroscantes y tacos de plástic,150,Tornillos,https://server.com/img/tornillos_003.jpg
4532B,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate.,12,Pintura,https://server.com/img/pintura_004.jpg
SKU_4005,Guantes de Seguridad Nitrilo,Guantes resistentes a químicos, talla L.,120,Seguridad,https://server.com/img/guantes_005.jpg
77-PRM,Taladro Percutor Inalámbrico,Potente taladro a batería de 18V con cargador rápido.,NULL,Herramientas,https://server.com/img/taladro_006.jpg
1007,Manguera de Jardín Reforzada 25m,Manguera de PVC tricapa, resistente a torceduras.,90,JARDINERÍA,https://server.com/img/manguera_007.jpg
"N/A,Sierra Circular Eléctrica 7 1/4"",Herramienta eléctrica para cortes rápidos y precisos en madera.,33,Herramientas,https://server.com/img/sierra_008.jpg"
1009,Cinta Métrica Autoretractil 5m,Cinta de acero recubierta de nylon.,55,HERRAMIENTAS MANUALES,NULL
SKU-1010,Bombilla LED E27 10W Blanca,Bombilla de bajo consumo, luz fría.,1000,ILUMINACION,https://server.com/img/led_010.jpg
1011,Adhesivo Sellador de Silicona,Silicona acética para sellar juntas y fisuras. Color blanco.,145,quimicos,https://server.com/img/silicona_011.jpg
4532C,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado satín.,NULL,Pinturas,https://server.com/img/pintura_012.jpg
1013,Escalera Plegable Aluminio 3m,Escalera de tijera con peldaños antideslizantes.,18,SEGURIDAD,https://server.com/img/escalera_013.jpg
1014-X,Lámpara Solar de Exterior,Foco con sensor de movimiento y panel solar integrado.,-10,iluminación,https://server.com/img/lampara_014.jpg
SKU-1015,Candado de Seguridad Latón 50mm,Candado de arco largo, resistente a la corrosión.,95,HERRAJES,https://server.com/img/candado_015.jpg
NULL,Pasta para Soldar Estaño,Pasta fundente para soldadura electrónica. Contiene plomo.,200,soldadura,https://server.com/img/pasta_sold_016.jpg
9999,Nivel Láser Autonivelante,NULL,25,Herramientas,https://server.com/img/nivel_laser_017.jpg
"1018,Llave Ajustable Cromada 12"",Herramienta manual de acero forjado y acabado cromo.,70,Manuales,https://server.com/img/llave_ajust_018.jpg"
1019,Tubo PVC 1/2 pulgada,Tubo rígido para instalaciones eléctricas y de fontanería.,150,FONTANERIA,https://server.com/img/tubo_pvc_019.jpg
INV-2020,Electrodos para Soldadura 6013,Electrodos de rutilo para soldadura de acero al carbono.,50,SOLDADURA,https://server.com/img/electrodos_020.jpg
"1021,Discos de Corte para Metal 4.5"",Disco abrasivo de óxido de aluminio.,100,CONSUMIBLES,https://server.com/img/disco_corte_021.jpg"
SKU-1022,Brocas para Concreto Set 5pcs,Set de brocas de widia para perforar hormigón.,-2,Brocas,https://server.com/img/brocas_022.jpg
1023,Rodillo de Pintura Antigoteo,Rodillo de lana sintética de 9 pulgadas.,180,pintura,https://server.com/img/rodillo_023.jpg
INVALID,Lona de Polietileno 3x4m,Lona impermeable y resistente a UV.,40,SEGURIDAD,NULL
1025,Pistola de Silicona Reforzada,Pistola para cartuchos de sellador, de aluminio.,75,Herramientas,https://server.com/img/pistola_025.jpg
1026,Cargador Batería 18V Litio,NULL,NULL,HERRAMIENTAS,https://server.com/img/cargador_026.jpg
4532D,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate. Formula mejorada.,10,Pintura,https://server.com/img/pintura_027.jpg
SKU-1028,Lijadora Roto Orbital Neumática,Lijadora de aire comprimido, alta velocidad.,30,HERRAMIENTAS MANUALES,https://server.com/img/lijadora_028.jpg
1029,Máscara de Soldar Fotosensible,Casco automático con oscurecimiento rápido.,15,seguridad,https://server.com/img/mascara_029.jpg
1030,Cinta de Embalaje Transparente,Cinta adhesiva de polipropileno. 48mm x 50m.,100,EMBALAJES,https://server.com/img/cinta_030.jpg
1031,Cemento de Contacto 1/4 Galón,Adhesivo industrial de secado rápido para madera y cuero.,NULL,QUÍMICOS,https://server.com/img/cemento_031.jpg
4532E,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado satín. Nuevo color.,13,Pinturas,https://server.com/img/pintura_032.jpg
1033,Set de Brocas para Madera 10pcs,Brocas de acero rápido con punta de centrado.,110,Brocas,https://server.com/img/brocas_033.jpg
NULL,Codo PVC 90 grados 1/2 pulg,Codo para fontanería de presión.,400,fontaneria,https://server.com/img/codo_034.jpg
1035,Clavos de Acero 2 pulgadas,Caja de 1 kg de clavos lisos.,75,Fijaciones,https://server.com/img/clavos_035.jpg
SKU-1036,Bomba Sumergible 1/2 HP,Bomba para extracción de agua limpia.,5,JARDINERÍA,https://server.com/img/bomba_036.jpg
1037,Caja de Herramientas Plástico,Organizador de herramientas con bandeja extraíble.,22,Herramientas manuales,https://server.com/img/caja_037.jpg
1038,Llave de Tubo 18mm,Llave de boca fija para tuercas y pernos.,90,manuales,NULL
"1039,Lijadora de Banda 3x21"",Herramienta eléctrica de alta potencia.,15,HERRAMIENTAS,https://server.com/img/lijadora_039.jpg"
INV-2040,Soldadora Inverter 130 Amps,Equipo compacto para soldadura ARC.,7,SOLDADURA,https://server.com/img/soldadora_040.jpg
1041,Gafas de Seguridad Transparentes,Protección ocular contra impactos y polvo.,250,Seguridad,https://server.com/img/gafas_041.jpg
SKU-1042,Linterna Frontal LED Recargable,Linterna para casco con múltiples modos de luz.,-1,iluminación,https://server.com/img/linterna_042.jpg
1043,Kit de Fijación para Drywall,Tornillos y anclajes para placas de yeso.,130,FIJACIONES,https://server.com/img/kit_043.jpg
4532F,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate.,NULL,Pinturas,https://server.com/img/pintura_044.jpg
1045,Adhesivo Epóxico Bicomponente,Pegamento extra fuerte de dos partes.,160,QUÍMICOS,https://server.com/img/epoxico_045.jpg
1046,Tijeras de Podar Bypass,Tijeras para jardinería, hoja de acero inoxidable.,60,Jardinería,https://server.com/img/tijeras_046.jpg
1047,Nivel de Burbuja 60cm,Herramienta de medición con tres burbujas.,85,Herramientas,https://server.com/img/nivel_047.jpg
1048,Masilla Plástica para Carrocería,Masilla de poliéster para reparación de vehículos.,25,Quimicos,https://server.com/img/masilla_048.jpg
1049,Kit de Destornilladores Precisión,Set de 32 puntas intercambiables para electrónica.,115,manuales,https://server.com/img/kit_049.jpg
1050,Termofusora para PPR,Máquina para soldadura de tuberías plásticas.,5,FONTANERIA,https://server.com/img/termofusora_050.jpg
INV-2051,Cables para Soldadora 2 Metros,Cables de cobre para máquina de soldar.,35,Soldadura,https://server.com/img/cables_051.jpg
SKU-1052,Set de Llaves Allen Milimétricas,Juego de llaves hexagonales en estuche plástico.,105,HERRAMIENTAS MANUALES,https://server.com/img/allen_052.jpg
1053,Cerradura de Sobreponer,Cerradura para puerta de metal, incluye 3 llaves.,65,Herrajes,https://server.com/img/cerradura_053.jpg
4532G,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores.,14,PINTURA,https://server.com/img/pintura_054.jpg
1055,Motosierra a Gasolina 52cc,Potente motosierra para corte de leña.,3,Jardinería,https://server.com/img/motosierra_055.jpg
1056,Cinta Aislante Eléctrica Negra,Cinta de PVC de alta resistencia a la abrasión.,500,ELECTRICIDAD,https://server.com/img/cinta_056.jpg
1057,Medidor Digital de Humedad,Higrómetro para madera y materiales de construcción.,20,Herramientas,https://server.com/img/medidor_057.jpg
1058,Remachadora Manual Profesional,Herramienta para colocar remaches de aluminio y acero.,60,manuales,https://server.com/img/remachadora_058.jpg
1059,Pegamento de Poliuretano Expansivo,Espuma aislante para rellenar huecos y fisuras.,100,QUÍMICOS,https://server.com/img/poliuretano_059.jpg
SKU-1060,Disyuntor Térmico 20 Amps,Breaker de protección contra sobrecarga y cortocircuito.,80,ELECTRICIDAD,https://server.com/img/disyuntor_060.jpg
1061,Grifo para Lavaplatos Monomando,Grifo de cocina con caño giratorio.,28,Fontaneria,https://server.com/img/grifo_061.jpg
4532H,Pintura Acrílica Interior 1 Galón,NULL,NULL,PINTURA,NULL
1063,Tornillos para Madera Cabeza Plana,Tornillos de latón para carpintería fina. Caja de 500 gramos.,150,Tornillos,https://server.com/img/tornillos_063.jpg
1064,Carretilla de Obra 65L,Carretilla con rueda neumática para transporte de materiales.,10,SEGURIDAD,https://server.com/img/carretilla_064.jpg
1065,Aceite Lubricante Multiusos,Aceite penetrante y lubricante en spray. 400ml.,200,quimicos,https://server.com/img/aceite_065.jpg
NULL,Motosierra Eléctrica,Motosierra con motor eléctrico de 2000W.,4,Jardinería,https://server.com/img/motosierra_066.jpg
1067,Multímetro Digital,Instrumento para medir voltaje, corriente y resistencia.,17,Herramientas,https://server.com/img/multimetro_067.jpg
"1068,Esmeriladora Angular 4 1/2"",Máquina para pulir y cortar metal.,25,Herramientas,https://server.com/img/esmeriladora_068.jpg"
1069,Kit de Reparación de Neumáticos,Set para parchar llantas sin cámara.,90,manuales,https://server.com/img/kit_069.jpg
INV-2070,Pinzas Porta Electrodo 300A,Pinzas de alta resistencia para soldadura.,40,SOLDADURA,https://server.com/img/pinzas_070.jpg
1071,Boquilla de Riego Ajustable,Boquilla para manguera de jardín con varios patrones de riego.,110,JARDINERÍA,https://server.com/img/boquilla_071.jpg
SKU-1072,Regulador de Voltaje 1000W,Protector contra picos de tensión y fluctuaciones.,-3,ELECTRICIDAD,https://server.com/img/regulador_072.jpg
1073,Bisagras de Piano 1.5m,Bisagra continua de acero. Se vende por metro.,75,Herrajes,https://server.com/img/bisagra_073.jpg
4532I,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate. Últimas unidades.,16,Pinturas,https://server.com/img/pintura_074.jpg
1075,Limas para Metal Set 5pcs,Set de limas planas, redondas y triangulares.,45,manuales,https://server.com/img/limas_075.jpg
1076,Kit de Juntas y O-Rings,Surtido de sellos de goma para reparaciones de fontanería.,200,FONTANERIA,https://server.com/img/o_rings_076.jpg
1077,Cable Eléctrico THHN #12,Conductor de cobre para instalaciones residenciales.,NULL,ELECTRICIDAD,https://server.com/img/cable_077.jpg
1078,Pico de Loro para Jardinería,Pala pequeña y puntiaguda para trabajar la tierra.,60,jardinería,https://server.com/img/pico_078.jpg
1079,Sierra de Calar 500W,Herramienta para cortes curvos y detallados en madera.,20,Herramientas,NULL
1080,Removedor de Pintura Gel,Decapante químico en formato gel. 1 Litro.,55,QUÍMICOS,https://server.com/img/removedor_080.jpg
1081,Tuercas Hexagonales Acero Inox,NULL,300,Fijaciones,https://server.com/img/tuercas_081.jpg
SKU-1082,Cincel SDS Plus,Cincel plano para rotomartillo.,70,HERRAMIENTAS MANUALES,https://server.com/img/cincel_082.jpg
1083,Brocas Forstner Set 7pcs,Brocas para agujeros ciegos en madera.,35,Brocas,https://server.com/img/brocas_083.jpg
4532J,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores, acabado mate.,11,Pintura,https://server.com/img/pintura_084.jpg
1085,Manguera de Presión para Compresor,Manguera de 10 metros con acoples rápidos.,15,Herramientas,https://server.com/img/manguera_085.jpg
NULL,Válvula Esférica 1/2 pulgada,Válvula de corte rápido para agua.,180,fontaneria,https://server.com/img/valvula_086.jpg
1087,Grapadora Manual para Tapicería,Grapadora de alto impacto para telas y maderas.,40,Manuales,https://server.com/img/grapadora_087.jpg
1088,Reflector LED de Emergencia,Reflector portátil con batería recargable.,25,ILUMINACION,https://server.com/img/reflector_088.jpg
1089,Cerradura Cilindro Europeo,Cilindro de alta seguridad para puertas.,80,HERRAJES,https://server.com/img/cilindro_089.jpg
INV-2090,Máscara de Gas con Filtro,Mascarilla de protección respiratoria con doble filtro.,12,SEGURIDAD,https://server.com/img/mascara_090.jpg
1091,Sika Impermeabilizante 4kg,Mortero impermeable para exteriores.,90,QUÍMICOS,https://server.com/img/sika_091.jpg
SKU-1092,Sierra de Mesa 10 pulgadas,Sierra estacionaria para carpintería pesada.,4,HERRAMIENTAS,https://server.com/img/sierra_092.jpg
1093,Tornillos Autoperforantes,Caja de 1000 unidades, cabeza hexagonal.,150,fijaciones,https://server.com/img/tornillos_093.jpg
4532K,Pintura Acrílica Interior 1 Galón,Pintura base agua para interiores.,NULL,PINTURA,https://server.com/img/pintura_094.jpg
1095,Kit de Accesorios para Dremel,Set de 100 piezas para herramientas rotativas.,60,CONSUMIBLES,https://server.com/img/kit_095.jpg
1096,Cepillo de Alambre Circular,Cepillo para pulir y remover óxido.,250,consumibles,https://server.com/img/cepillo_096.jpg
1097,Sierra Caladora de Banco,Sierra de precisión para cortes complejos.,3,Herramientas,https://server.com/img/sierra_097.jpg
1098,Destornillador Aislado VDE,Destornillador certificado para trabajos con electricidad.,85,ELECTRICIDAD,https://server.com/img/destorn_098.jpg
1099,Regadera de Plástico 5 Litros,Regadera para plantas de jardín, color verde.,100,JARDINERÍA,https://server.com/img/regadera_099.jpg
1100-F,Medidor Láser de Distancia 50m,Telémetro láser con funciones de área y volumen.,-8,Herramientas,https://server.com/img/medidor_100.jpg
SKU-1101,Caja de Herramientas Metálica Grande,Caja de herramientas de acero con 5 compartimentos.,25,Herramientas manuales,https://server.com/img/caja_101.jpg
NULL,Sierra de Sable Inalámbrica 20V,Potente sierra para demolición y corte de madera.,12,HERRAMIENTAS,https://server.com/img/sierra_102.jpg
1103,Batería de Litio 4.0Ah 20V,Batería de alto rendimiento para herramientas eléctricas.,150,CONSUMIBLES,NULL
77-PRM-B,Taladro Atornillador de Impacto,Taladro con función de impacto y motor sin escobillas.,-2,herramientas,https://server.com/img/atornillador_104.jpg
SKU_1105,Candado de Combinación 40mm,Candado de latón con combinación reajustable.,200,seguridad,https://server.com/img/candado_105.jpg
1106,Discos de Lija Grano 80 50pcs,Discos de óxido de aluminio para lijadora orbital.,400,Consumibles,https://server.com/img/discos_106.jpg
